Project,OKs,Fails
rect_pack_h,-1,-1
rubiksolver,-1,-1
worsp,-1,-1
amp,-1,-1
avalanche,2,0
cfsm,1,0
cset,-1,-1
fs_c,-1,-1
jccc,-1,-1
lambda_calculus_eval,-1,-1
LTRE,-1,-1
mvptree,-1,-1
recordManager,-1,-1
XOpt,-1,-1
blt,-1,-1
CircularBuffer,-1,-1
Graph_recogniser,-1,-1
Linear_Algebra_C,-1,-1
rhbloom,-1,-1
bhshell,-1,-1
bostree,-1,-1
c_aces,-1,-1
c_blind_rsa_signatures,-1,-1
cissy,-1,-1
c_string,-1,-1
csyncmers,0,1
file2str,-1,-1
gfc,-1,-1
hamta,-1,-1
hydra,-1,-1
kd3,-1,-1
leftpad,-1,-1
lib2bit,-1,-1
libbeaufort,-1,-1
libfor,-1,-1
libvcd,-1,-1
Math_Library_in_C,-1,-1
matrix_multiplication,4,0
quadtree,-1,-1
roaring_bitmap,-1,-1
simple_lang,-1,-1
Simple_Sparsehash,-1,-1
totp,-1,-1
utf8,-1,-1
VaultSync,-1,-1
proj_2DPartInt,-1,-1
bigint,-1,-1
bitset,-1,-1
cJSON,-1,-1
clog,1,0
coroutine,-1,-1
dict,-1,-1
FastHamming,-1,-1
fleur,-1,-1
Genetic_neural_network_for_simple_control,-1,-1
kairoCompiler,-1,-1
libbase122,-1,-1
libpgn,-1,-1
libpsbt,-1,-1
libwecan,-1,-1
mdb,-1,-1
Megalania,-1,-1
merkle_tree_c,-1,-1
rbtree_lab,-1,-1
satc,-1,-1
Simple_Config,-1,-1
skp,-1,-1
ted,-1,-1
vec,-1,-1
proj_42_Kocaeli_Printf,0,1
approxidate,-1,-1
btree_map,-1,-1
clhash,-1,-1
emlang,-1,-1
fslib,-1,-1
geofence,1,0
Holdem_Odds,-1,-1
libm17,-1,-1
libqueue,-1,-1
libutf,-1,-1
morton,1,0
murmurhash_c,1,0
Remimu,-1,-1
SimpleXML,-1,-1
ulidgen,5,0
aes128_SIMD,-1,-1
carrays,-1,-1
expr,-1,-1
gorilla_paper_encode,-1,-1
impcheck,-1,-1
libtinyfseq,-1,-1
NandC,-1,-1
razz_simulation,-1,-1
SlothLang,3,0
chtrie,-1,-1
fft,1,0
inversion_list,-1,-1
ljmm,-1,-1
Phills_DHT,-1,-1
tisp,-1,-1
