iteration,project,error_code,error_message,file_path,row,col
0,Genetic_neural_network_for_simple_control,E0499,cannot borrow `*system_nn` as mutable more than once at a time,Genetic_neural_network_for_simple_control/src/model_system.rs,28,71
0,Genetic_neural_network_for_simple_control,,"expected identifier, found reserved keyword `gen`",Genetic_neural_network_for_simple_control/src/general_math.rs,5,23
0,Genetic_neural_network_for_simple_control,,"expected identifier, found reserved keyword `gen`",Genetic_neural_network_for_simple_control/src/genetic_operations.rs,121,29
0,Graph_recogniser,": cannot find macro `check` in this scope
  --> Graph_recogniser/src/cuckoohash.rs:30:1
   |
30 | check!(initial_size >= 2);
   | ^^^^^
   |
note","`check` is imported here, but it is a module, not a macro",Graph_recogniser/src/cuckoohash.rs,4,5
0,Graph_recogniser,": cannot find macro `check` in this scope
  --> Graph_recogniser/src/log.rs:66:1
   |
66 | check!((log_type as u8) < 4 && priority <= 10);
   | ^^^^^
   |
note","`check` is imported here, but it is a module, not a macro",Graph_recogniser/src/log.rs,4,5
0,Graph_recogniser,": cannot find macro `check` in this scope
  --> Graph_recogniser/src/openhash.rs:27:1
   |
27 | check!(initial_size != 0);
   | ^^^^^
   |
note","`check` is imported here, but it is a module, not a macro",Graph_recogniser/src/openhash.rs,4,5
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/cuckoohash.rs,64,1
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/cuckoohash.rs,73,1
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/cuckoohash.rs,97,1
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/cuckoohash.rs,120,1
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/openhash.rs,89,1
0,Graph_recogniser,,cannot find macro `check` in this scope,Graph_recogniser/src/openhash.rs,96,1
0,LTRE,E0425,cannot find function `all_bitset_indices` in this scope,LTRE/src/ltre.rs,580,11
0,Linear_Algebra_C,E0425,cannot find function `print_matrix_impl` in module `matrix`,Linear_Algebra_C/src/linear_algebra.rs,164,9
0,Megalania,E0432,unresolved import `crate::output_interface`,Megalania/src/file_output.rs,1,12
0,Megalania,E0432,unresolved import `crate::output_interface`,Megalania/src/lzma_header_encoder.rs,2,12
0,Megalania,E0432,unresolved import `crate::encoder_interface`,Megalania/src/lzma_packet_encoder.rs,1,12
0,Megalania,E0432,unresolved import `crate::probability`,Megalania/src/lzma_state.rs,1,12
0,Megalania,E0432,unresolved import `crate::probability`,Megalania/src/lzma_state.rs,2,12
0,Megalania,E0432,unresolved import `crate::encoder_interface`,Megalania/src/perplexity_encoder.rs,1,12
0,Megalania,E0432,unresolved import `crate::encoder_interface`,Megalania/src/probability_model.rs,1,12
0,Megalania,E0432,unresolved import `crate::probability`,Megalania/src/probability_model.rs,2,12
0,Megalania,E0432,unresolved import `crate::probability`,Megalania/src/probability_model.rs,3,12
0,Megalania,E0432,unresolved import `crate::encoder_interface`,Megalania/src/range_encoder.rs,1,12
0,Megalania,E0432,unresolved import `crate::output_interface`,Megalania/src/range_encoder.rs,2,12
0,Remimu,E0599,no method named `clone` found for struct `RegexMatcherState` in the current scope,Remimu/src/my_regex.rs,802,46
0,Remimu,E0599,no method named `clone` found for struct `RegexMatcherState` in the current scope,Remimu/src/my_regex.rs,832,46
0,Remimu,E0599,no method named `clone` found for struct `RegexMatcherState` in the current scope,Remimu/src/my_regex.rs,869,46
0,Remimu,E0599,no method named `clone` found for struct `RegexMatcherState` in the current scope,Remimu/src/my_regex.rs,906,46
