project,c_loc,rust_loc,builds
bostree,482,877,False
c_blind_rsa_signatures,893,711,True
hamta,310,351,True
libbeaufort,345,145,True
libfor,25394,4,False
libutf,1525,1160,False
Graph_recogniser,391,441,True
skp,1575,755,True
blt,697,423,True
proj_2DPartInt,299,490,True
bhshell,444,316,True
emlang,934,1095,True
jccc,1284,1224,True
Megalania,3584,893,True
merkle_tree_c,840,810,True
ted,815,517,True
approxidate,735,1255,True
bigint,669,576,True
c_aces,777,761,True
carrays,618,428,True
cissy,903,694,True
coroutine,191,123,True
cset,598,388,True
dict,843,496,True
fs_c,269,144,True
Genetic_neural_network_for_simple_control,1367,1213,True
gfc,125,140,True
gorilla_paper_encode,441,356,True
impcheck,1397,888,True
kairoCompiler,1589,1016,True
kd3,339,391,True
libm17,1028,921,True
libpgn,1157,1123,True
libpsbt,1331,1105,True
libtinyfseq,162,184,True
Linear_Algebra_C,915,1032,True
LTRE,1212,1210,True
mvptree,1121,1122,True
quadtree,332,356,True
recordManager,2339,1638,True
Remimu,1162,1581,True
Simple_Config,675,675,True
simple_lang,656,484,True
tisp,3562,1370,True
totp,197,258,True
VaultSync,1121,759,True
proj_42_Kocaeli_Printf,160,247,True
aes128_SIMD,308,383,True
amp,73,66,True
avalanche,87,122,True
bitset,116,113,True
btree_map,258,300,True
cfsm,60,47,True
chtrie,117,119,True
CircularBuffer,213,204,True
cJSON,674,507,True
clhash,334,435,True
clog,383,333,True
c_string,259,178,True
csyncmers,126,165,True
expr,941,986,True
FastHamming,184,136,True
fft,151,140,True
file2str,64,22,True
fleur,323,340,True
fslib,1951,1930,True
geofence,67,60,True
Holdem_Odds,322,431,True
hydra,210,271,True
inversion_list,695,302,True
lambda_calculus_eval,1255,1117,True
leftpad,34,36,True
lib2bit,579,490,True
libbase122,299,292,True
libqueue,100,68,True
libvcd,186,408,True
libwecan,217,221,True
ljmm,218,51,True
Math_Library_in_C,174,211,True
matrix_multiplication,565,157,True
mdb,640,425,True
morton,58,31,True
murmurhash_c,175,85,True
NandC,82,83,True
Phills_DHT,102,81,True
razz_simulation,1145,616,True
rbtree_lab,620,483,True
rect_pack_h,229,263,True
rhbloom,222,200,True
roaring_bitmap,449,428,True
rubiksolver,643,452,True
satc,688,527,True
Simple_Sparsehash,347,442,True
SimpleXML,364,385,True
SlothLang,431,357,True
ulidgen,73,146,True
utf8,184,285,True
vec,204,70,True
worsp,1494,1408,True
XOpt,2113,873,True
